唯一标志,被引用次数,期刊等级,题名,doi,作者,作者单位,期刊,关键字,分类号,年,卷,期
xdhl201513018,9,,微信群在PICC带管出院患者知识宣教中的应用,10.3760/cma.j.issn.1674-2907.2015.13.014,赵洁[1];郭佳华[1];周敏[2];高秋霞[3];杨衬[4];,"[1]518033,深圳市第四人民医院/福田医院外二区;[2]518033,深圳市第四人民医院/福田医院内科;[3]518033,深圳市第四人民医院/福田医院外五区;[4]518033,深圳市第四人民医院/福田医院护理部;",中华现代护理杂志,PICC;微信群;出院;知识宣教;,,2015,21,13
jths201407032,31,,快速康复外科理念在腹腔镜胆囊切除术病人护理中的应用,10.3969/j.issn.1674-4748.2014.07.031,郭佳华;赵洁;余贺杲;,,全科护理,快速康复外科;腹腔镜胆囊切除术;护理;,R473.6,2014,12,7
zhldwszyb201608008,0,"ISTIC,PKU",某企业流动工人心理健康调查,10.3760/cma.j.issn.1001-9391.2016.08.008,孙正海[1];吴子俊[2];党卫民[3];王淑文[4];林琳[5];褚红玲[6];周金鹏[2];周天航[7];李思恒[8];,"[1]161006,齐齐哈尔医学院;[2]深圳市职业病防治院;[3]北京大学第六医院,北京大学精神卫生研究所,卫生部精神卫生学重点实验室(北京大学),国家精神心理疾病临床医学研究中心(北京大学第六医院);[4]深圳市第四人民医院,深圳市福田区人民医院;[5]深圳市龙岗区疾病预防控制中心;[6]北京大学公共卫生学院;[7]哈佛大学医学院;[8]北京大学基础医学院;",中华劳动卫生职业病杂志,流动工人;自报心理健康;影响因素;数据收集;,,2016,34,8
syyfyx201405037,3,"ISTIC,PKU",乙型肝炎患者血清乙型肝炎病毒外膜大蛋白LHBs的检测分析,10.3969/j.issn.1006-3110.2014.05.037,刘键[1];蒋英[2];吴正林[1];黄烈[1];庄鹏[1];,"[1]深圳市第四人民医院检验医学部,广东深圳,518033;[2]深圳市福田区慢性病防治院检验科;",实用预防医学,乙型肝炎;乙型肝炎病毒外膜大蛋白;HBV DNA;,R512.6+2,2014,21,5
hainanyx201402060,4,"ISTIC,PKU",妇科腹腔镜手术患者围术期眼压的变化及护理,10.3969/j.issn.1003-6350.2014.02.0120,易旦冰[1];丁建林[2];曾娜芬[1];杨红[1];陈晓雪[1];,"[1]深圳市第四人民医院广东医学院附属深圳福田人民医院手术室,广东深圳,518033;[2]深圳市第四人民医院广东医学院附属深圳福田人民医院影像科,广东深圳,518033;",海南医学,眼内压;腹腔镜手术;护理;,R473.71,2014,25,2
bfyx201505016,2,"ISTIC,PKU",自拟骨折速愈汤治疗桡骨远端骨折的临床效果,,陈戍国[1];余健[2];,[1]深圳市第四人民医院中医骨科 深圳 518033;[2]深圳市福田区妇幼保健院信息科 深圳 518045;,北方药学,自拟骨折速愈汤;桡骨远端骨折;临床;效果;,R274.1,2015,,5
syyfyx201510009,2,"ISTIC,PKU",深圳市福田区艾滋病患者抗病毒治疗依从性相关情况分析,10.3969/j.issn.1006-3110.2015.010.009,舒彬[1];牛姬飞[1];张胜男[2];徐六妹[3];郭聪锐[1];刘莹[1];庄厚雄[1];,"[1]深圳市福田区疾病预防控制中心,广东深圳,518040;[2]深圳市福田区慢性病防治院;[3]深圳市第三人民医院;",实用预防医学,抗病毒治疗;依从性;艾滋病患者;影响因素;,R512.91,2015,22,10
hsjxzz201605007,3,"ISTIC,PKU",中医护理对提高类风湿性关节炎患者生活量的临床研究,10.16821/j.cnki.hsjx.2016.05.007,蔡旭[1];肖剑伟[2];郭粉莲[1];叶志中[1];,"[1]广东医学院附属福田医院香蜜湖风湿病分院,广东深圳,518000;[2]广东省深圳市第四人民医院,广东深圳,518000;",护士进修杂志,中医护理;类风湿性关节炎;生活质量;护理;,R248  R593.22,2016,31,5
zgggws201607025,2,"ISTIC,PKU",社区慢性病人家庭医生服务路径干预效果评价,10.11847/zgggws2016-32-07-25,裴宇慧[1];王刚[2];,"[1]深圳市福田区慢性病防治院,广东,518048;[2]广东省深圳市第四人民医院急诊科;",中国公共卫生,家庭医生;健康管理;服务路径;社区;慢性病;,R197.61,2016,32,7
zhptwk201604016,2,"ISTIC,PKU",胃十二指肠穿孔保守治疗闭合后穿孔病因的早期诊断,10.3760/cma.j.issn.1007-631X.2016.04.016,陈钢;刘业星;庄哲宏;张剑宝;何葵;梁智浩;,,中华普通外科杂志,消化性溃疡穿孔;胃镜检查;,,2016,31,4
zhptwk201610010,0,"ISTIC,PKU",宽适应证非手术治疗胃十二指肠溃疡穿孔,10.3760/cma.j.issn.1007-631X.2016.10.010,陈钢;刘业星;庄哲宏;张剑宝;谭诗成;张冬辉;何葵;梁智浩;黄睿;,,中华普通外科杂志,消化性溃疡穿孔;综合疗法;适应证;,,2016,31,10
lcnkzz201612008,0,"ISTIC,PKU",高血糖及血糖波动对白细胞磷酸戊糖途径及活性氧产量的影响,10.3969/j.issn.1001-9057.2016.12.008,桑丹[1];柳岚[1];蒋凤秀[1];陆泽元[1];薛耀明[2];,"[1]518033,深圳市第四人民医院(福田医院)内分泌科;[2]南方医科大学南方医院内分泌科;",临床内科杂志,2型糖尿病;血糖波动;磷酸戊糖途径;活性氧;,,2016,33,12
xxgbxjz201602023,2,"ISTIC,PKU",增强型体外反搏治疗冠心病的新机制,10.16806/j.cnki.issn.1004-3934.2016.02.000,刘洋;,,心血管病学进展,冠心病;增强型体外反搏;作用机制;,R541.4,2016,37,2
lcnkzz201407010,3,"ISTIC,PKU",临床和生化指标评估胰岛素抵抗的研究,10.3969/j.issn.1001-9057.2014.07.010,陆泽元[1];阎德文[2];杨婷[1];赖丽萍[1];柳岚[1];,"[1]广东医学院附属福田医院深圳市第四人民医院内分泌科,深圳,518033;[2]深圳大学第一附属医院内分泌科;",临床内科杂志,临床特征;生化指标;胰岛素抵抗;Kappa值;,,2014,31,7
zgrdyx201506005,0,"ISTIC,PKU",深圳地区HBV基因分型及耐药基因检测分析,,刘键[1];陆学东[1];蒋英[2];黄烈[1];庄鹏[1];王琼[1];吴润香[1];杨来智[1];,"[1]深圳市第四人民医院检验医学部,广东深圳,518033;[2]深圳市福田区慢性病防治院检验科,广东深圳,518048;",中国热带医学,乙肝病毒;基因型;基因芯片;耐药性;,R512.32,2015,15,6
syxnfxgbzz201509037,1,"ISTIC,PKU",增强型体外反搏治疗进展性缺血性卒中的临床疗效及其对神经功能的影响,10.3969/j.issn.1008-5971.2015.09.033,肖剑伟[1];蔡旭[2];黄宗青[1];张志[1];周国强[1];,"[1]广东省深圳市第四人民医院神经内科, 广东省深圳市,518000;[2]广东医学院附属福田医院香蜜湖风湿病分院;",实用心脑肺血管病杂志,卒中;增强型体外反搏;治疗结果;神经功能;,R743,2015,,9
xxgkfyxzz201405035,2,"ISTIC,PKU",增强型体外反搏治疗冠心病的可能机制,10.3969/j.issn.1008-0074.2014.05.32,郭攸胜;张东辉;张焕基;,,心血管康复医学杂志,反搏动术;冠状动脉疾病;分子作用机制;,R541.4,2014,,5
yycyzx201417039,1,"ISTIC,PKU",载神经生长因子纳米柔性脂质体透血-脑屏障的研究,,管晨峰[1];路伟[1];张开礼[1];郭见[2];潘一峰[3];黄国栋[4];,"[1]广东省深圳市第四人民医院(福田医院)药剂科,广东深圳,518033;[2]广州医科大学,广东广州,510182;[3]中南大学卫生部纳米生物技术重点实验室,湖南长沙,410008;[4]深圳大学第一附属医院 广东省深圳市第二人民医院神经外科,广东深圳,518035;",中国医药导报,神经生长因子;纳米柔性脂质体;血-脑屏障;,R741,2014,,17
hnyx201505008,1,"ISTIC,PKU",踝臂指数对2型糖尿病患者冠状动脉病变程度的预测价值,10.3969/j.issn.1671-7171.2015.05.008,颜雯;徐艳婷;李涛;廖欢;张伟勇;杨美兰;,,医学临床研究,"糖尿病 ,2型/并发症;冠状动脉疾病/病因学;下肢/血液供给;动脉粥样硬化;ROC曲线;",R587.1,2015,,5
