唯一标志,被引用次数,期刊等级,题名,doi,作者,作者单位,期刊,关键字,分类号,年,卷,期
xdyy201510057,1,,深圳市宝安区儿童安全座椅认知及使用现况调查,10.3969/j.issn.1671-332X.2015.10.057,陈韦冰[1];唐瑛[1];徐小红[2];郭艳芳[1];刘成锋[1];刘峥[1];张升超[3];,[1]深圳市宝安区慢性病防治院 广东深圳 518103;[2]深圳市宝安区人民医院 广东深圳 518103;[3]深圳市宝安区中心医院 广东深圳 518103;,现代医院,儿童;安全座椅;认知情况;调查;,,2015,,10
wnyxyxb201605025,1,,原发性小肝癌与肝硬化再生结节超声造影参数的比较,10.3969/j.issn.1002-0217.2016.05.025,杨晓霞[1];韩冬林[2];周小英[3];,"[1]深圳市宝安区中心医院颐康园社康中心,广东深圳,518102;[2]深圳市宝安区中心医院富恒社康中心,广东深圳,518102;[3]深圳市宝安区人民医院超声科,广东深圳,518101;",皖南医学院学报,超声造影;原发性小肝癌;肝硬化再生结节;鉴别诊断;,R735.7,2016,35,5
jkr201614048,0,,深圳市宝安区社区护士教育现状调查分析,,唐春云[1];尹琳[2];居锦芳[3];,"[1]深圳市宝安区石岩人民医院罗租社康中心,深圳,518108;[2]深圳市宝安区中心医院,深圳,518101;[3]深圳市宝安区石岩人民医院,深圳,518108;",中国当代医药,社区护士;社区教育现状;调查;技能;,R192.6,2016,23,14
zgkfyxzz201405010,16,"ISTIC,PKU",早期使用踝足矫形器对脑卒中偏瘫患者步行功能影响的表面肌电信号研究,10.3969/j.issn.1001-1242.2014.05.010,黄美玲[1];杨万章[2];范佳进[3];龙建军[4];朱晓龙[4];王玉龙[4];,"[1]深圳大学第一附属医院(深圳市第二人民医院)康复医学科,深圳,518000;广州医科大学;[2]深圳市第六人民医院康复医学科;[3]深圳市残疾人辅助器具资源中心;[4]深圳大学第一附属医院(深圳市第二人民医院)康复医学科,深圳,518000;",中国康复医学杂志,脑卒中;踝足矫形器;偏瘫步态;步行功能;表面肌电图;,R743.3  R493,2014,29,5
xdzdyzl201513126,3,"ISTIC,PKU",COOK双球囊联合催产素用于羊水偏少足月妊娠引产疗效研究,,刘泗容[1];秦玲[2];刘素华[3];,"[1]深圳市光明新区中心医院,广东 深圳,518107;[2]深圳市宝安区松岗人民医院,广东 深圳,518100;[3]深圳市大鹏新区南澳人民医院,广东 深圳,518121;",现代诊断与治疗,COOK双球囊;催产素;足月妊娠;羊水偏少;,R719.3,2015,26,13
zgyf201521016,0,"ISTIC,PKU",胺碘酮与普罗帕酮治疗慢性心房颤动复律的疗效与安全性比较,10.6039/j.issn.1001-0408.2015.21.14,谢展雄[1];梁翠霞[1];王庆文[2];陈桂红[3];廖朝峰[4];温中明[5];,"[1]深圳市龙华新区中心医院,广东深圳,518000;[2]深圳市龙华新区龙华人民医院,广东深圳,518109;[3]深圳市宝安区中心医院,广东深圳,518000;[4]深圳市宝安区人民医院,广东深圳,518000;[5]深圳市光明新区人民医院,广东深圳,518000;",中国药房,慢性心房颤动;心肌复律;胺碘酮;普罗帕酮;,R541,2015,,21
zgrdyx201512008,0,"ISTIC,PKU",疑似先天梅毒新生儿血浆梅毒螺旋体DNA定量检测及随防,10.13604/j.cnki.46-1064/r.2015.12.08,鲁东平[1];沈全才[2];秦琴[3];付敏[4];杨鹏[5];张荣[1];李湘辉[1];贾婕[1];,"[1]深圳市宝安区慢性病防治院皮肤科,广东深圳,518133;[2]深圳市宝安区松岗人民医院急诊科,广东深圳,518105;[3]深圳市宝安区人民医院皮肤科,广东深圳,518133;[4]深圳市宝安区沙井人民医院,广东深圳,518104;[5]深圳美莱医疗美容医院,广东深圳,518000;",中国热带医学,疑似先天梅毒;新生儿;血浆;荧光定量PCR;阴转时间;,R759.1,2015,15,12
zgxkx201606042,1,"ISTIC,PKU",不同方法应用于剖宫产术中子宫收缩乏力性出血患者中的效果对比,10.3969/j.issn.1672-1993.2016.06.041,肖雪莲[1];韦枝红[2];,"[1]深圳市大鹏新区南澳人民医院妇产科,广东深圳,518121;[2]深圳市第二人民医院妇产科,广东深圳,518000;",中国性科学,子宫体双侧弓形动脉缝扎术;剖宫产术;子宫收缩乏力性出血;阻抗指数;手术时间;,R714.41,2016,25,6
zgyk201508016,2,"ISTIC,PKU",深圳市宝安区2011~2014年772例交通伤死亡分析,10.3969/j.issn.1008-1070.2015.08.014,刘文华[1];韩娜[2];王飞[3];殷晓峰[4];王天兵[4];寇玉辉[4];邓少杰[1];,"[1]广东省深圳市宝安区人民医院深圳市第八人民医院南方医科大学附属宝安医院骨科,广东深圳,518101;[2]北京大学人民医院 创伤骨科,北京,100044;[3]北京大学交通医学中心,北京,100044;[4]北京大学人民医院 创伤骨科，北京100044; 北京大学交通医学中心，北京100044;",中国医刊,交通;创伤;死亡;,R459.7,2015,,8
sxyyzz201609041,0,"ISTIC,PKU",脑功能康复治疗仪对缺血性脑卒中患者神经功能康复的应用分析,10.3969/j.issn.0253-9926.2016.09.041,周梅君[1];王玉龙[2];,"[1]518121,深圳市大鹏新区南澳人民医院康复科;[2]深圳市第二人民医院康文科;",山西医药杂志,@@;,,2016,45,9
