ytctyy201405041,3,"
",中医适宜技术社区应用研究,,何晶[1];何莉[2];何璐[3];,"[1]深圳市光明新区人民医院西田社区健康服务中心,广东深圳,518106;[2]深圳市福田区中医院,广东深圳,518000;[3]深圳市福田区妇幼保健院,广东深圳,518000;",亚太传统医药,中医适宜技术;社区应用;社区卫生服务;,R192,2014,10,5
ytctyy201405041,3,,中医适宜技术社区应用研究,,何晶[1];何莉[2];何璐[3];,"[1]深圳市光明新区人民医院西田社区健康服务中心,广东深圳,518106;[2]深圳市福田区中医院,广东深圳,518000;[3]深圳市福田区妇幼保健院,广东深圳,518000;",亚太传统医药,中医适宜技术;社区应用;社区卫生服务;,R192,2014,10,5
ytctyy201405041,3,,中医适宜技术社区应用研究,,何晶[1];何莉[2];何璐[3];,"[1]深圳市光明新区人民医院西田社区健康服务中心,广东深圳,518106;[2]深圳市福田区中医院,广东深圳,518000;[3]深圳市福田区妇幼保健院,广东深圳,518000;",亚太传统医药,中医适宜技术;社区应用;社区卫生服务;,R192,2014,10,5
ytctyy201405041,3,,中医适宜技术社区应用研究,,何晶[1];何莉[2];何璐[3];,"[1]深圳市光明新区人民医院西田社区健康服务中心,广东深圳,518106;[2]深圳市福田区中医院,广东深圳,518000;[3]深圳市福田区妇幼保健院,广东深圳,518000;",亚太传统医药,中医适宜技术;社区应用;社区卫生服务;,R192,2014,10,5
ytctyy201405041,3,,中医适宜技术社区应用研究,,何晶[1];何莉[2];何璐[3];,"[1]深圳市光明新区人民医院西田社区健康服务中心,广东深圳,518106;[2]深圳市福田区中医院,广东深圳,518000;[3]深圳市福田区妇幼保健院,广东深圳,518000;",亚太传统医药,中医适宜技术;社区应用;社区卫生服务;,R192,2014,10,5
ytctyy201405041,3,,中医适宜技术社区应用研究,,何晶[1];何莉[2];何璐[3];,"[1]深圳市光明新区人民医院西田社区健康服务中心,广东深圳,518106;[2]深圳市福田区中医院,广东深圳,518000;[3]深圳市福田区妇幼保健院,广东深圳,518000;",亚太传统医药,中医适宜技术;社区应用;社区卫生服务;,R192,2014,10,5
zhyxycx201502028,1,"ISTIC,PKU",南方汉族人群HLA-DPA1及-DPB1基因多态性与青光眼睫状体炎综合征的关联研究,10.3760/cma.j.issn.1003-9406.2015.02.023,赵军[1];祝天辉[1];何柳媚[2];申晓丽[1];王彦君[1];邓志辉[2];,"[1]深圳眼科学重点实验室深圳市眼科医院暨南大学附属深圳眼科医院, 广东省深圳市,518040;[2]深圳市血液中心免疫遗传研究室;",中华医学遗传学杂志,人类白细胞抗原;HLA-DP位点;多态性;测序分型;青光眼睫状体炎综合征;,,2015,32,2
mzgjykzz201606019,2,"ISTIC,PKU",眼外伤后继发性青光眼的常见临床分型及治疗对策,10.3980/j.issn.1672-5123.2016.6.17,任静[1];刘静雯[1];秦波[2];,"[1]510632 中国广东省广州市，暨南大学; 518040 中国广东省深圳市眼科医院 深圳眼科学重点实验室 暨南大学附属深圳眼科医院 深圳大学眼视光学院;[2]518040,中国广东省深圳市眼科医院 深圳眼科学重点实验室 暨南大学附属深圳眼科医院 深圳大学眼视光学院;",国际眼科杂志,外伤性青光眼;眼内积血型;房角挫伤型;晶状体相关型;粘连增殖型;,,2016,16,6
jsyy201609008,1,"ISTIC,PKU",年龄和眼内压不对称性对诊断原发性闭角型青光眼的价值,,马大卉;黄丽娜;成洪波;赖铭莹;,,江苏医药,原发性闭角型青光眼;眼内压;,R775,2016,42,9
mzgjykzz201504017,2,"ISTIC,PKU",鼠神经生长因子对外伤性视神经病变治疗作用的 Meta分析,10.3980/j.issn.1672-5123.2015.4.16,刘静雯[1];秦波[2];,"[1]510632 中国广东省广州市，暨南大学第二临床医学院; 518000 中国广东省深圳市，暨南大学附属深圳眼科医院 深圳市眼科医院;[2]暨南大学附属深圳眼科医院 深圳市眼科医院, 中国广东省深圳市,518000;",国际眼科杂志,鼠神经生长因子;外伤性视神经病变;Meta分析;,,2015,,4
