zhzdxdzzz201401008,1,,特殊临床表现的椎管内外巨大哑铃型神经鞘瘤诊断学特征,10.3877/cma.j.issn.2095-655X.2014.01.008,王庆贺[1];杨大志[1];李子艺[1];刘俊良[1];镇万新[1];郭玉霞[2];,"[1]暨南大学第二临床医学院 深圳市人民医院 脊柱外科, 深圳,518020;[2]暨南大学第二临床学院 深圳市人民医院 妇科;",中华诊断学电子杂志,神经鞘瘤;诊断;治疗;,,2014,,1
gdyx201420029,5,"ISTIC,PKU",胎盘植入的MRI征象分析,,凌人男[1];赵跃红[2];朱进[1];成志强[3];邱晨[4];,"[1]暨南大学第二临床医学院、广东省深圳市人民医院CT和MRI室,518020;[2]暨南大学第二临床医学院、广东省深圳市人民医院妇产科,518020;[3]暨南大学第二临床医学院、广东省深圳市人民医院病理科,518020;[4]暨南大学第二临床医学院、广东省深圳市人民医院呼吸内科,518020;",广东医学,瘢痕子宫;胎盘植入;MRI;,,2014,35,20
zhxwwk201205027,54,"ISTIC,PKU",经皮椎间孔镜微创技术治疗腰椎间盘突出症,10.3760/cma.j.issn.1001-2036.2012.05.027,高国勇[1];陈廖斌[2];镇万新[3];刘俊良[3];朱杰诚[3];马乐群[3];林二虎[3];,"[1]暨南大学第二临床医学院深圳市人民医院脊柱外科;[2]武汉大学中南医院骨科, 武汉,430071;[3]暨南大学第二临床医学院 深圳市人民医院脊柱外科;",中华显微外科杂志,腰椎间盘突出症;椎间孔镜;微创手术;,R6,2012,35,5
hainanyx201605029,0,"ISTIC,PKU",初诊2型糖尿病患者血清活性维生素D3水平的变化及其临床意义,10.3969/j.issn.1003-6350.2016.05.028,王彬[1];骆瑜[2];王薇[3];岳化葵[1];谭礼萍[4];王俊[1];,[1]暨南大学附属第二临床学院 深圳市人民医院检验科 广东 深圳 518000;[2]暨南大学附属第二临床学院 深圳市人民医院老干病科 广东 深圳 518000;[3]暨南大学附属第二临床学院 深圳市人民医院内分泌科 广东 深圳 518000;[4]暨南大学附属第二临床学院 深圳市人民医院病案统计室 广东 深圳 518000;,海南医学,2型糖尿病;活性维生素D3;胰岛素抵抗;临床意义;,R587.1,2016,27,5
zgblslzz201402029,21,"ISTIC,PKU",黄芪甲苷对糖尿病肾病大鼠肾脏的保护作用及其机制,10.3969/j.issn.1000-4718.2014.02.029,郭维文[1];黎帅[2];陈玲玲[1];陆文松[1];李佑生[3];,"[1]暨南大学第二临床医学院/深圳市人民医院中医科,广东深圳518020;暨南大学医学院中医学系,广东广州510632;[2]暨南大学医学院中医学系,广东广州,510632;[3]暨南大学第二临床医学院/深圳市人民医院中医科,广东深圳,518020;",中国病理生理杂志,黄芪甲苷;糖尿病肾病;足细胞;蛋白尿;,R363,2014,30,2
zgzxyjhjjzz201201006,13,"ISTIC,PKU",乌司他丁联合胸腺肽α1治疗对脓毒症患者疗效的荟萃分析,10.3969/j.issn.1008-9691.2012.01.005,陈子盛[1];傅应云[1];林少雄[2];刘盛国[2];何正强[2];涂惠英[3];李伟[4];,"[1]暨南大学第二临床医学院深圳市人民医院呼吸科;[2]南方医科大学附属南方医院耳鼻喉科,广东广州,510400;[3]暨南大学第二临床医学院深圳市人民医院新生儿科;[4]暨南大学第二临床医学院深圳市人民医院骨关节科,广东深圳,518000;",中国中西医结合急救杂志,乌司他丁;胸腺肽;脓毒症;Meta分析;,R285.6  R631.3,2012,19,1
zhfck201507011,0,"ISTIC,PKU",特发性婴儿动脉钙化症的产前诊断一例报告并文献复习,10.3760/cma.j.issn.0529-567x.2015.07.011,胡芷洋[1];林琳华[1];朱进[2];熊奕[3];任景慧[1];苏放明[1];,[1]518020暨南大学第二临床学院深圳市人民医院产科;[2]518020暨南大学第二临床学院深圳市人民医院影像科;[3]518020暨南大学第二临床学院深圳市人民医院超声科;,中华妇产科杂志,,,2015,,7
gdyx201309029,8,"ISTIC,PKU",晚期卵巢癌CIK 治疗后外周血T 淋巴细胞亚群和NK细胞的变化及其临床意义,10.3969/j.issn.1001-9448.2013.09.029,夏俊贤[1];朱美琴[1];陈敬华[1];谢家平[2];刘斌[3];申维玺[1];,"[1]暨南大学第二临床医学院、广东省深圳市人民医院肿瘤内科,518020;[2]暨南大学第二临床医学院、广东省深圳市人民医院妇科,518020;[3]暨南大学第二临床医学院、广东省深圳市人民医院肛肠外科,518020;",广东医学,CIK晚期卵巢癌;流式细胞术;T淋巴细胞亚群;NK细胞;,,2013,34,9
xbyfzmyxzz201302007,2,"ISTIC,PKU",胰岛新生相关蛋白肽在促进脐带间充质干细胞分化为胰岛素分泌细胞中的作用,,陈桃[1];王云帅[2];谷乐辉[1];周淑艳[3];叶剑[2];简优强[2];李富荣[3];齐晖[3];,"[1]暨南大学第二临床医学院(深圳市人民医院)风湿免疫科,广东深圳518020;暨南大学第二临床医学院(深圳市人民医院)干细胞与细胞治疗重点实验室,广东深圳518020;[2]暨南大学第二临床医学院(深圳市人民医院)肝胆外科,广东深圳,518020;[3]暨南大学第二临床医学院(深圳市人民医院)干细胞与细胞治疗重点实验室,广东深圳,518020;",细胞与分子免疫学杂志,脐带间充质干细胞;胰岛素分泌细胞;胰岛新生相关蛋白肽;分化;,R392-33  R392.12,2013,29,2
zhyx201527017,2,"ISTIC,PKU",痛风间歇期患者诊治依从性及其相关影响因素研究,10.3760/cma.j.issn.0376-2491.2015.27.017,高辉[1];陈丽君[1];许荐军[2];阳芳[3];王小琪[1];刘冬舟[1];,"[1]暨南大学第二临床医学院(深圳市人民医院)风湿免疫科, 深圳市,518020;[2]暨南大学第二临床医学院(深圳市人民医院)手显微血管外科, 深圳市,518020;[3]暨南大学第二临床医学院(深圳市人民医院)皮肤性病科, 深圳市,518020;",中华医学杂志,痛风;依从性;认知;尿酸;医疗保障;,,2015,95,27
syfsxzz201506015,2,"ISTIC,PKU",直肠腺癌 MRI 表观扩散系数值与分化程度相关性的初步研究,10.3969/j.issn.1002-1671.2015.06.014,朱进[1];成志强[2];杨明利[3];康文炎[1];龚静山[1];夏利刚[3];徐坚民[1];,"[1]深圳市人民医院 暨南大学第二临床医学院 放射科,广东 深圳,518000;[2]深圳市人民医院 暨南大学第二临床医学院 病理科,广东 深圳,518000;[3]深圳市人民医院 暨南大学第二临床医学院 胃肠外科,广东 深圳,518000;",实用放射学杂志,直肠腺癌;磁共振成像;表观扩散系数;分级;,R735.3+7  R445.2,2015,,6
