唯一标志,被引用次数,期刊等级,题名,doi,作者,作者单位,期刊,关键字,分类号,年,卷,期
ytctyy201405041,3,,中医适宜技术社区应用研究,,何晶[1];何莉[2];何璐[3];,"[1]深圳市光明新区人民医院西田社区健康服务中心,广东深圳,518106;[2]深圳市福田区中医院,广东深圳,518000;[3]深圳市福田区妇幼保健院,广东深圳,518000;",亚太传统医药,中医适宜技术;社区应用;社区卫生服务;,R192,2014,10,5
xdyyws201407076,0,,浅析如何提高社区卫生服务质量,10.3969/j.issn.1009-5519.2014.07.076,何晶[1];何莉[2];何璐[3];,"[1]深圳市光明新区人民医院西田社区健康服务中心,广东深圳,518106;[2]深圳市福田区中医院体检中心,广东深圳,518000;[3]深圳市福田区妇幼保健院新生儿科,广东深圳,518000;",现代医药卫生,社区卫生服务;质量控制;提高;措施;,,2014,,7
jkr201624025,0,,Activin A、β-hCG、P在异位妊娠早期诊断中的价值研究,,张雯[1];周秀英[2];颜美荣[3];陈莉[1];黎宁[1];,"[1]深圳市宝安中医院妇科,深圳,518000;[2]深圳市光明新区人民医院产科,深圳,518000;[3]深圳市光明新区人民医院妇产科,深圳,518000;",中国当代医药,Activin A;β-hCG;孕酮;异位妊娠;早期诊断;,R713.8,2016,23,24
shyxjyzz201407018,2,"ISTIC,PKU",75株碳青霉烯类耐药铜绿假单胞菌 ERIC-PCR菌种分型及其主要耐药机制研究,10.3969/j.issn.1673-8640.2014.07.015,张勇[1];刘爱胜[2];文艳[3];,"[1]深圳市龙华新区观澜人民医院检验科,广东 深圳,518110;[2]深圳市龙华新区人民医院检验科,广东 深圳,518109;[3]深圳市光明新区人民医院 ICU,广东 深圳,518106;",检验医学,铜绿假单胞菌;碳青霉烯类耐药;肠杆菌基因间重复一致序列为引物的聚合酶链反应;β-内酰胺酶;主动外排;,R446.5,2014,,7
jkr201620058,2,"ISTIC,PKU",循证护理在异位妊娠患者中的应用及效果评价,,颜美荣[1];钟富莲[2];张雯[3];周秀英[1];,"[1]深圳市光明新区人民医院产科,深圳,518106;[2]深圳市光明新区人民医院妇科,深圳,518106;[3]深圳市宝安区中医院产科,深圳,518000;",中国当代医药,异位妊娠;循证护理;临床效果;,R473.71,2016,23,20
sxyxjy201403026,3,"ISTIC,PKU",四种腹泻病毒抗原联检技术在临床儿童腹泻诊断中的应用价值,10.3969/j.issn.1671-7414.2014.03.026,刘泽滨[1];王琼[2];胡琴[3];陆学东[2];,"[1]广东医学院,广东湛江524000;深圳市福田区妇幼保健院检验科,广东深圳518000;[2]广东医学院附属福田医院检验医学部,广东深圳,518033;[3]深圳市龙岗区人民医院检验科,广东深圳,518000;",现代检验医学杂志,腹泻病毒;荧光免疫(四联法);酶免法;一致性;,R373.2  R392.11,2014,29,3
zgyf201521016,0,"ISTIC,PKU",胺碘酮与普罗帕酮治疗慢性心房颤动复律的疗效与安全性比较,10.6039/j.issn.1001-0408.2015.21.14,谢展雄[1];梁翠霞[1];王庆文[2];陈桂红[3];廖朝峰[4];温中明[5];,"[1]深圳市龙华新区中心医院,广东深圳,518000;[2]深圳市龙华新区龙华人民医院,广东深圳,518109;[3]深圳市宝安区中心医院,广东深圳,518000;[4]深圳市宝安区人民医院,广东深圳,518000;[5]深圳市光明新区人民医院,广东深圳,518000;",中国药房,慢性心房颤动;心肌复律;胺碘酮;普罗帕酮;,R541,2015,,21
xnyxyxb201403008,0,"ISTIC,PKU",TLR2在慢性乙肝孕妇胎盘中的表达及与宫内感染的关系,,金素芳[1];方锦川[2];周晓梅[1];王梅[1];,"[1]深圳市福田区中医医院妇产科,广东深圳,518000;[2]深圳市福田区妇幼保健院妇产科;",湖北科技学院学报（医学版）,慢性乙肝;Toll样受体2;胎盘;宫内感染;,R714.251,2014,,3
fsxsj201406044,4,"ISTIC,PKU",超声二维斑点追踪技术评价严重心收缩功能不全患者左室扭转及解旋研究,10.13609/j.cnki.1000-0313.2014.06.033,潘敏[1];刘俐[2];王双双[2];张蒂荣[2];陈芸[2];林栋[2];李国松[2];,"[1]深圳市福田区中医院超声科, 广东,518034;[2]北京大学深圳医院超声科, 广东,518026;",放射学实践,"超声检查;心肌收缩;心室功能障碍,左;",R331.31  R541  R446.9,2014,,6
shzjzz201602010,5,"ISTIC,PKU",头针配合背俞穴埋线治疗中风恢复期失眠症疗效观察,10.13460/j.issn.1005-0957.2016.02.0157,许倩[1];占大权[2];黄飞霞[3];,"[1]深圳市宝安区福永人民医院,深圳,518103;[2]深圳市宝安区中医院,深圳,518133;[3]香港大学深圳医院,深圳,518053;",上海针灸杂志,"头针;穴,背俞;埋线;中风并发症;失眠症;",R246.6,2016,35,2
zgyszz201511032,1,"ISTIC,PKU",复发性流产患病危险因素的Logistic回归分析,10.3760/cma.j.issn.1008-1372.2015.11.032,方锦川[1];周燕妮[1];李丽萍[1];彭检妹[1];周晓梅[2];,"[1]深圳福田区妇幼保健院妇产科, 深圳,518000;[2]深圳福田区中医院妇产科;",中国医师杂志,"流产,习惯性;危险因素;Logistic模型;",,2015,17,11
rdyxzz201410015,2,"ISTIC,PKU",黄芪消渴方联合二甲双胍片对气阴两虚型2型糖尿病患者血糖的影响,,曾纪斌[1];潘艳[1];黄寅銮[1];龚丽[2];谢嘉嘉[1];杨从意[1];,"[1]广东省深圳市宝安区中医院广州中医药大学附属深圳宝安中医院糖尿病科,广东深圳518101;[2]广州中医药大学附属深圳宝安中医院,广东深圳518101;",热带医学杂志,黄芪消渴方;气阴两虚;2型糖尿病;,R587.1,2014,14,10
sxyxjy201506027,1,"ISTIC,PKU",荧光探针PCR与膜芯片技术在女性生殖道HPV分型的对比研究,10.3969/j.issn.1671-7414.2015.06.027,刘小君[1];向华国[2];曾锦婷[2];李红春[3];,"[1]深圳市光明新区人民医院,广东深圳,518106;[2]深圳市宝安区福永人民医院,广东深圳,518103;[3]达州市中心医院,四川达州,635000;",现代检验医学杂志,人乳头状瘤病毒;荧光探针PCR;基因分型;,R373  Q503,2015,30,6
zgyszz201508017,0,"ISTIC,PKU",脂联素受体1基因多态性和多囊卵巢综合征的初步研究,10.3760/cma.j.issn.1008-1372.2015.08.017,方锦川[1];周燕妮[1];李丽萍[1];金素芳[2];周晓梅[2];,"[1]深圳福田区妇幼保健院妇产科,深圳,518045;[2]深圳福田区中医院妇产科;",中国医师杂志,"受体,脂联素/遗传学;多囊卵巢综合征/遗传学;",,2015,17,8
lchsyyxzz201412032,3,"ISTIC,PKU",缺铁性贫血人群全血糖化血红蛋白含量水平分析及参考区间建立,10.3969/j.issn.1671-4695.2014.12.031,张勇[1];刘爱胜[2];文艳[3];,[1]深圳市龙华新区观澜人民医院检验科 广东 深圳 518110;[2]深圳市龙华新区人民医院检验科 广东 深圳 518109;[3]深圳市光明新区人民医院 ICU 广东 深圳 518106;,临床和实验医学杂志,缺铁性贫血;全血;糖化血红蛋白;参考区间;,,2014,,12
sxzlyx201509011,0,"ISTIC,PKU",鼻咽癌组织中 DAPK 基因启动子甲基化的研究,10.3969/j.issn.1672-4992.2015.09.11,梁辉[1];李璐[2];陈群蓉[3];利显民[1];,"[1]深圳市宝安区人民医院耳鼻咽喉科,广东深圳,518101;[2]深圳市宝安区人民医院输血科,广东深圳,518101;[3]北京大学深圳医院检验科,广东 深圳,518036;",现代肿瘤医学,鼻咽癌;DAPK 基因;启动子;甲基化;,R739.63,2015,,9
zgjcyy201408031,1,"ISTIC,PKU",对氧磷酶-1与多囊卵巢综合征的相关性研究,10.3760/cma.j.issn.1008-6706.2014.08.031,周晓梅[1];石溪[2];邹俐[3];方景川[2];资捷[2];,"[1]深圳市福田区中医院妇产科, 广东省深圳,518034;[2]深圳市福田区妇幼保健院;[3]惠州市计划生育技术服务中心;",中国基层医药,多囊卵巢综合征;对氧磷酶-1;动脉粥样硬化性心脏病;酶联免疫吸附法;,,2014,21,8
zgjcyy201417026,0,"ISTIC,PKU",肝细胞生长因子、晚期糖基化终产物受体在妊娠期糖尿病胎盘中的表达及与母儿预后的关系,10.3760/cma.j.issn.1008-6706.2014.17.025,金素芳[1];周晓梅[1];方锦川[2];郭玉萍[1];,"[1]深圳市福田区中医院妇产科, 广东省深圳,518034;[2]福田区妇幼保健院妇产科;",中国基层医药,"糖尿病,妊娠;肝细胞生长因子;膜蛋白质类;预后;",,2014,,17
zwyxyj201426066,2,"ISTIC,PKU",戊酸雌二醇用药时间长短对难治性流产作用效果的临床观察,,吴庆莉[1];钟科[2];马剑霞[1];王云霞[3];袁海琳[1];,[1]深圳福永人民医院 广东 深圳 518103;[2]深圳南山区妇幼保健院;[3]深圳福田妇幼保健院;,中外医学研究,戊酸雌二醇;用药时间;难治性流产;,R714.21,2014,,26
sxyxjy201502012,0,"ISTIC,PKU",鼻咽癌组织中 SYK 基因启动子区的甲基化分析,10.3969/j.issn.1671-7414.2015.02.012,李璐[1];梁辉[2];陈群蓉[3];,"[1]北京大学深圳医院检验科,广东深圳,518035;[2]深圳市宝安区人民医院耳鼻咽喉科,广东深圳,518101;[3]深圳市宝安区人民医院输血科,广东深圳,518101;",现代检验医学杂志,鼻咽癌;SYK 基因;启动子;甲基化;,R739.6  R730.43,2015,,2
sxyxjy201401051,2,"ISTIC,PKU",深圳关外各社区妇女生殖道人乳头瘤病毒感染状况及亚型分析,10.3969/j.issn.1671-7414.2014.01.051,施俊柱[1];刘爱胜[2];文艳[3];陈荣贵[1];阳建[4];,"[1]龙华新区观澜人民医院检验科,广东深圳,518110;[2]龙华新区人民医院检验科,广东深圳,518109;[3]光明新区人民医院ICU,广东深圳,518106;[4]宝安区沙井人民医院检验科,广东深圳,518104;",现代检验医学杂志,宫颈癌;人乳头瘤病毒;感染;基因分型;,R373.9  R392.11,2014,29,1
lcsxyjy201402022,1,"ISTIC,PKU",75株碳青霉烯类耐药铜绿假单胞菌的检出及药敏分析,10.3969/j.issn.1671-2587.2014.02.022,张勇[1];刘爱胜[2];文艳[3];,"[1]518110,广东省深圳市龙华新区观澜人民医院检验科;[2]龙华新区人民医院检验科;[3]光明新区人民医院ICU;",临床输血与检验,碳青霉烯类耐药铜绿假单胞菌;耐药;亚胺培南;美罗培南;,R378.99+1,2014,16,2
lchsyyxzz201411010,1,"ISTIC,PKU",SF、LDH和γ-GT检测在乳腺癌诊断治疗中的临床应用价值,10.3969/j.issn.1671-4695.2014.11.010,张勇[1];刘爱胜[2];文艳[3];,[1]深圳龙华新区观澜人民医院检验科广东深圳 518110;[2]深圳龙华新区人民医院检验科广东深圳 518109;[3]深圳光明新区人民医院ICU广东深圳 518106;,临床和实验医学杂志,乳腺癌;SF;LDH;γ-GT;,,2014,,11
yxzs201410045,0,"ISTIC,PKU",热激蛋白47在瘢痕疙瘩发病机制中的研究,10.3969/j.issn.1006-2084.2014.10.045,曾凡杞[1];樊超[2];张志云[1];黄勇武[2];,"[1]深圳市光明新区人民医院皮肤科,518106广东深圳;[2]深圳市宝安区福永人民医院皮肤科,518103广东深圳;",医学综述,热激蛋白47;瘢痕疙瘩;Ⅰ型胶原;Ⅲ型胶原;,R861  R691.4,2014,20,10
zgrdyx201505021,5,"ISTIC,PKU",ELISA法、荧光免疫法及PCR检测婴幼儿腹泻常见病毒,,刘泽滨[1];王琼[2];胡琴[3];陆学东[2];,"[1]深圳市福田区妇幼保健院检验科,广东深圳,518000;[2]广东医学院附属福田医院检验医学部,广东深圳,518033;[3]深圳市龙岗区人民医院检验科,广东深圳,518000;",中国热带医学,婴幼儿;多重RT-PCR;腹泻病毒;星状病毒;,R725.1,2015,15,5
hnyx201508007,0,"ISTIC,PKU",脑源性神经生长因子及酪氨酸激酶受体B在子宫内膜癌中的表达及其意义,10.3969/j.issn.1671-7171.2015.08.007,陈旭娜[1];叶志中[2];,"[1]深圳市福田区中医院检验科,广东 深圳,518034;[2]深圳市福田人民医院,广东 深圳,518034;",医学临床研究,脑源性神经营养因子/代谢;受体蛋白质酪氨酸激酶类/代谢;子宫内膜肿瘤/病理学;免疫组织化学;,R737.33,2015,,8
zgxkx201606049,0,"ISTIC,PKU",大败毒胶囊对梅毒血清固定患者外周血Treg/Th17比例及CD4+CD25+T细胞水平的影响,10.3969/j.issn.1672-1993.2016.06.048,胡鹏飞[1];胡南[2];葛亮[3];任燕[1];冉灵芝[1];,"[1]深圳市光明新区人民医院皮肤性病科,广东深圳,518106;[2]深圳市宝安区人民医院,广东深圳,518102;[3]深圳市光明新区疾病预防控制中心,广东深圳,518106;",中国性科学,大败毒胶囊;梅毒血清固定;外周血Treg/Th17;CD4+ CD25+T细胞;,R759.1,2016,25,6
yycyzx201418008,6,"ISTIC,PKU",Ki67、GFAP在人脑恶性胶质瘤病理分级中的意义,,陈梅花[1];陈贵珍[1];贾万钧[1];邹桂华[2];,"[1]深圳市宝安区中医院病理科,广东深圳,518100;[2]深圳市宝安区人民医院病理科,广东深圳,518100;",中国医药导报,胶质瘤;Ki67;GFAP;,R73-3,2014,,18
sxyxjy201506029,0,"ISTIC,PKU",健康成人血浆D-二聚体免疫比浊法正常参考区间的建立,10.3969/j.issn.1671-7414.2015.06.029,刘晓鸽[1];姚伟[2];房笃智[3];,"[1]深圳市宝安区福永人民医院检验科,广东深圳,518103;[2]深圳市宝安区松岗人民医院检验科,广东深圳,518100;[3]深圳市宝安区人民医院检验科,广东深圳,518001;",现代检验医学杂志,健康成人;血浆D-二聚体;免疫比浊法;参考区间;,R446.112,2015,30,6
zhonggba201404022,0,"ISTIC,PKU",医院评审对病案统计工作质量的影响,10.3969/j.issn.1672-2566.2014.04.022,廖慧群[1];赖伏虎[2];,"[1]518106,深圳市 深圳市光明新区人民医院病案统计科;[2]518101,深圳市 深圳市宝安区人民医院信息统计科;",中国病案,医院评审;病案统计;工作质量;持续改进;,,2014,,4
jkr201626058,2,"ISTIC,PKU",综合口腔护理干预对预防儿童龋齿的效果研究,,陈绮琴[1];葛风华[2];席晓颖[1];,"[1]深圳市光明新区人民医院体检中心,广东深圳,518106;[2]深圳市宝安区中医院口腔科,广东深圳,518000;",中国当代医药,综合口腔护理干预;预防;儿童龋齿;预防效果;,R473.78,2016,23,26
ddhs-zkb201607031,0,"ISTIC,PKU",骨科择期手术患者信息需求及其影响因素分析,,陈银娟[1];黎彩红[1];戴利[2];魏天瑜[1];,"[1]518103深圳,广东省深圳市宝安区福永人民医院护理部;[2]518100,深圳市宝安人民医院;",当代护士（下旬刊）,信息需求;择期手术;影响因素;,R473.6,2016,,7
zgyxwz-ekxfc201506041,1,"ISTIC,PKU",深圳西北部地区儿童住院患者巨细胞病毒感染调查,10.3969/j.issn.1674-3865.2015.06.041,张安全[1];吴庆飞[2];彭文娟[1];薛立军[3];,"[1]深圳市宝安区福永人民医院儿科,广东深圳,518103;[2]深圳市光明新区人民医院儿科,广东深圳,518106;[3]深圳市宝安区松岗人民医院新生儿科,广东深圳,518105;",中国中西医结合儿科学,巨细胞病毒感染;调查;免疫力;儿童;,R512.5,2015,7,6
xnyxyxb201603007,0,"ISTIC,PKU",痰湿体质与阴虚体质高血压患者临床特征的差异研究,10.16751/j.cnki.2095-4646.2016.03.0202,李建军[1];王会容[2];,"[1]深圳市光明新区人民医院玉律社康中心,广东深圳,518106;[2]深圳市宝安区福永人民医院;",湖北科技学院学报（医学版）,原发性高血压;痰湿体质;阴虚体质;危险因素;靶器官损害;,R544.1,2016,30,3
lccsyxzz2015010017,2,"ISTIC,PKU",颈动脉粥样硬化合并斑块形成与前循环进展型脑梗死的相关性研究,,赵爱娥[1];魏立亚[2];张晶莉[2];陈颐[2];,"[1]518036,深圳市龙华新区观澜人民医院超声科;[2]北京大学深圳医院超声科;",临床超声医学杂志,颈动脉粥样硬化;斑块形成;进展型脑梗死;相关性;,R743.33  R445.1,2015,,1
zgyszz201411019,2,"ISTIC,PKU",颈动脉粥样硬化合并斑块形成与前循环脑梗死相关性研究,10.3760/cma.j.issn.1008-1372.2014.11.019,赵爱娥[1];魏立亚[2];金玉华[1];张海军[1];,"[1]深圳市龙华新区观澜人民医院B超室,深圳,518110;[2]北京大学深圳医院;",中国医师杂志,动脉硬化/超声检查;动脉硬化/病理学;颈动脉;脑梗死/超声检查;预后;,,2014,16,11
gdybfz201505012,5,"ISTIC,PKU",社区口腔健康教育对居民口腔菌斑控制的影响,,葛风华[1];唐世平[2];张国明[1];刘春子[1];曹晶[1];赖晓洁[1];刘惠灵[1];朱兰英[1];,"[1]深圳市宝安区中医院口腔科,广东深圳,518000;[2]深圳市光明新区人民医院口腔科;",广东牙病防治,口腔健康教育;社区;口腔菌斑;,R780.1,2015,23,5
ylbjqj201511013,0,"ISTIC,PKU",血塞通对全脑缺血/再灌注后大鼠海马回中Bcl-2及Bax的影响,10.3969/j.issn.1674-4659.2015.11.1426,陈锋[1];阳生光[2];李建军[1];张兴毅[3];颜石新[2];,"[1]广东省深圳市光明新区人民医院ICU,广东深圳,518106;[2]广东省深圳市宝安区福永人民医院,广东深圳,518103;[3]遵义医学院珠海校区,广东珠海,519041;",临床医学工程,脑缺血再灌注损伤;神经保护;血塞通;Bc1-2;Bax;,R285.5,2015,22,11
ddyx201419001,1,"ISTIC,PKU",城市社区育龄妇女生殖健康影响因素调查与计划生育对策,10.3969/j.issn.1009-4393.2014.19.001,曾润颜[1];叶斌[2];,"[1]广东 518026 深圳市福田区妇幼保健院;[2]518034,深圳市福田区中医院;",当代医学,生殖健康;生殖道感染;社区卫生服务;育龄期;计划生育对策;,,2014,,19
zgyxcx201407006,3,"ISTIC,PKU",血塞通对大鼠脑缺血再灌注损伤保护的观察,10.3969/j.issn.1674-4985.2014.07.006,陈锋[1];阳生光[2];蒋佩琴[1];梁建娜[1];杨志霞[1];,[1]广东省深圳市光明新区人民医院 广东 深圳 518106;[2]广东省深圳市宝安区福永人民医院;,中国医学创新,脑缺血再灌注损伤;神经保护;血塞通;,,2014,,7
lchlzz201505011,0,"ISTIC,PKU",阶段性口腔健康教育对社区居民口腔菌斑控制的效果观察,10.3969/j.issn.1671-8933.2015.05.011,唐世平[1];葛风华[2];张国明[2];,"[1]518106,深圳市光明新区人民医院口腔科;[2]518100,深圳市宝安区中医院口腔科 深圳;",临床护理杂志,口腔健康教育;牙菌斑;,R780.1  R781,2015,,5
xdhl201401031,4,"ISTIC,PKU",追踪检查法在护理质量管理评价中的应用效果,10.3760/j.issn.1674-2907.2014.01.031,杨衬[1];史少凤[2];邓雪萍[3];初敏[4];,"[1]广东医学院附属福田医院护理部, 深圳,518033;[2]广东医学院附属福田医院内科, 深圳,518033;[3]广东医学院附属福田医院外科, 深圳,518033;[4]广东医学院附属福田医院特保病区, 深圳,518033;",中华现代护理杂志,护理质量审核;追踪检查法;持续质量改进;,,2014,20,1
gwyykssfc201402013,0,"ISTIC,PKU",饮食控制联合有氧运动对社区糖尿病控制的有效性,10.3969/j.issn.1001-8751.2014.02.013,李建军[1];郭碧芳[2];,"[1]深圳市光明新区人民医院玉律社康中心,深圳,518106;[2]深圳市福永人民医院白石厦东社康中心,深圳,518104;",国外医药（抗生素分册）,饮食控制;有氧运动;糖尿病控制;有效性;,R45,2014,35,2
zwyxyj201420063,0,"ISTIC,PKU",异位妊娠介入术后疼痛的护理干预效果分析,,周秀英[1];颜美荣[1];张雯[2];,[1]深圳市光明新区人民医院 广东 深圳 518106;[2]深圳市宝安区中医院;,中外医学研究,腹腔镜;介入治疗;异位妊娠;妇科疾病;综合护理;,R714.2,2014,,20
amydy201406091,0,"ISTIC,PKU",足反射护理在冠心病患者护理中的应用价值,,张莉梅[1];张玉兰[2];,"[1]深圳市宝安区中医院,广东深圳,518101;[2]深圳市宝安区福永人民医院,广东深圳,518103;",按摩与康复医学,冠心病;足反射护理;应用价值;,R248,2014,,6
amydy201407081,4,,全程优质护理在食道癌手术患者中的应用效果,,魏燕[1];易小青[2];,"[1]深圳市光明新区人民医院,广东深圳,518106;[2]深圳市宝安区人民医院,广东深圳,518101;",按摩与康复医学,优质护理;食道癌;应用效果;,R473.6,2014,,7
xdyy201605018,1,,噻托溴铵治疗慢性阻塞性肺气肿并自发性气胸临床分析,10.3969/j.issn.1671-332X.2016.05.018,谢艺明[1];张日华[2];秦玲[3];,[1]深圳市宝安区人民医院 广东深圳 518100;[2]深圳市宝安区福永人民医院 广东深圳 508102;[3]深圳市宝安区松岗人民医院 广东深圳 508104;,现代医院,噻托溴铵;慢性阻塞性肺气肿;自发性气胸;,R563.3  R561.4,2016,16,5
zgyxcx201619041,0,,家庭血压监测联合个体化透析方案在透析高血压患者的临床应用,10.3969/j.issn.1674-4985.2016.19.041,倪惜芝[1];彭鑫[2];李春娣[1];,[1]广东省深圳市宝安区福永人民医院 广东 深圳 518103;[2]广东省深圳市宝安区人民医院;,中国医学创新,家庭血压监测;个体化透析方案;血液透析;高血压;,,2016,13,19
xdfckjz201409011,2,"ISTIC,PKU",疤痕子宫间隔1年内妊娠再次足月剖宫产102例分析,10.13283/j.cnki.xdfckjz.2014.09.013,王云霞[1];余艳红[2];葛绍明[1];刘萍[1];吴庆莉[3];,"[1]深圳市福田区妇幼保健院,深圳,518045;[2]南方医科大学附属南方医院妇产科,广州,510515;[3]深圳市福永人民医院妇产科,深圳,518103;",现代妇产科进展,剖宫产术后;疤痕子宫;妊娠;子宫破裂;,R719.8,2014,,9
zgyyzn201430174,4,"ISTIC,PKU",糖尿病合并高血压药物治疗的合理应用与不良反应分析,,李汉洪[1];梁金凤[2];林洁娜[1];陈茹芳[3];曾铠[1];康雁飞[1];,"[1]广东省深圳市宝安区中医院药学部,广东 深圳,518101;[2]广东省第一荣军医院药剂科,广东 广州,510260;[3]广东省深圳市宝安区人民医院药剂科,广东 深圳,518101;",中国医药指南,糖尿病;高血压;药物治疗;应用与不良反应;,R587.1  R544.1,2014,,30
zgxdyyyy201412152,1,"ISTIC,PKU",浅议致心律失常性右室心肌病患者的护理体会,,魏燕[1];易小青[2];,"[1]518106,深圳市光明新区人民医院;[2]深圳市宝安区人民医院;",中国现代药物应用,致心律失常性右室心肌病;射频消融术;护理;,,2014,,12
