Role [socb]    
EUS-FNA [diap]    
Guide [prog]    
Managed [ocac]    
Proximal [spco]    
Background [cnce]    
Aim [idcn]    
Optimal [qlco]    
Managed [ocac]    
Proximal [spco]    
depend [medd]    
Stage [ftcn]    
Adequate [qlco]    
Tissue diagnosis [clas]    
suspect [idcn]    
malignancies [qlco]    
Lesion [fndg]    
Sensitive [qnco]    
ERCP [diap]    
brush cytology [medd]    
Poor [grpa]    
EUS-FNA [diap]    
Lesion [fndg]    
Challenge [clna]    
limit [ftcn]    
Data [idcn]    
Diagnostic Accuracy [qlco]    
Report [inpr]    
experience [menp]    
EU [diap]    
Guide [prog]    
FNA [diap]    
Proximal [spco]    
methodology [inpr]    
patient [podg]    
EU [diap]    
Guide [prog]    
FNA [diap]    
Hilar [spco]    
Lesion [fndg]    
Identifiable [qlco]    
final diagnosis [qlco]    
Pathology, Surgical [bmod]    
Result [ftcn]    
EUS-FNA [diap]    
Follow-up [fndg]    
Result [ftcn]    
patient [podg]    
procedures [inpr]    
Hilar [spco]    
Lesion [fndg]    
studies [mnob]    
period [tmco]    
EU [diap]    
detect [fndg]    
Mass [fndg]    
patient [podg]    
Not [ftcn]    
Mass [fndg]    
Seen [qlco]    
Image [diap]    
Mean [qnco]    
Follow-up [fndg]    
period [tmco]    
month [tmco]    
Cytologic [ftcn]    
Specimen [sbst]    
Adequate [qlco]    
patient [podg]    
final diagnosis [qlco]    
Adenocarcinoma [neop]    
Benign [qlco]    
Overall [inpr]    
Accuracy [qlco]    
Sensitive [qnco]    
Specific [qnco]    
positive predictive value [qnco]    
negative predictive value [qnco]    
EUS-FNA [diap]    
68 [inpr]    
Only [qnco]    
Adequate [qlco]    
Aspirate [bdsu]    
include [ftcn]    
Analysis [lbpr]    
Values [qlco]    
55 [inpr]    
Conclusion [idcn]    
EU [diap]    
Guide [prog]    
FNA [diap]    
use [ftcn]    
modalities [idcn]    
Diagnosis [fndg]    
Managed [ocac]    
Hilar [spco]    
Lesion [fndg]    
