Pathologic [bmod]    
Combination [qlco]    
Hepatocellular [qlco]    
Cholangiocarcinoma [neop]    
Combination [qlco]    
Hepatocellular [qlco]    
Cholangiocarcinoma [neop]    
Rare [tmco]    
Primary Neoplasm [neop]    
Liver [bpoc]    
Gain [qnco]    
Increase [ftcn]    
Recognition [menp]    
Recent [tmco]    
Part [spco]    
More [ftcn]    
Extensibility [qlco]    
Sample [diap]    
surgical resection [topp]    
Specimen [sbst]    
Diagnostic [fndg]    
Challenge [hlca]    
encounter [hlca]    
Clinical [qlco]    
practice [menp]    
Clinical [qlco]    
Outcome [ftcn]    
Attributable [idcn]    
Histogenesis [ortf]    
Cell [cell]    
origin [clas]    
This [euka]    
Review [inpr]    
Aim [idcn]    
To [qlco]    
Update [tmco]    
Combination [qlco]    
Hepatocellular [qlco]    
Cholangiocarcinoma [neop]    
Pathology diagnosis [ftcn]    
include [ftcn]    
Differential Diagnosis [diap]    
Diagnostic [fndg]    
Possible [qlco]    
Cell [cell]    
origin [clas]    
Neoplasm [neop]    
Clinical [qlco]    
Outcome [ftcn]    
