Role [socb]    
EU [diap]    
Pre-operative evaluation [diap]    
Cholangiocarcinoma [neop]    
Large [qnco]    
Single [popg]    
Center [spco]    
experience [menp]    
Background [cnce]    
Accurate [qlco]    
Preoperative diagnosis [fndg]    
Stage [ftcn]    
Cholangiocarcinoma [neop]    
Difficult [qlco]    
Object [inpr]    
To [qlco]    
Evaluable [ftcn]    
Utilities [orgt]    
EU [diap]    
Diagnosis [fndg]    
Pre-operative evaluation [diap]    
Cholangiocarcinoma [neop]    
Design [acty]    
Observational Study [resa]    
collections data [resa]    
Set [ftcn]    
Single [popg]    
Indiana [geoa]    
patient [podg]    
Consecutive [qlco]    
patient [podg]    
Cholangiocarcinoma [neop]    
intervention [hlca]    
EU [diap]    
EUS-FNA [diap]    
Guide [prog]    
EUS-FNA [diap]    
Main [qlco]    
Outcome [ftcn]    
Measurable [ftcn]    
Sensitive [qnco]    
EU [diap]    
detect [topp]    
Tumor [neop]    
Predictability [idcn]    
Unresectable [clna]    
Compare [acty]    
CT [gngm]    
Magnetic Resonance Imaging [diap]    
Sensitive [qnco]    
EUS-FNA [diap]    
Provide [acty]    
Tissue diagnosis [clas]    
Using [ftcn]    
Pathology, Surgical [bmod]    
refer [idcn]    
Standard [qlco]    
Result [ftcn]    
% total [qnco]    
patient [podg]    
EU [diap]    
Identifiable [qlco]    
Mean [qnco]    
Age-Years [tmco]    
Men [popg]    
Cholangiocarcinoma [neop]    
One [qnco]    
patient [podg]    
Distal [spco]    
Proximal [spco]    
Cholangiocarcinoma [neop]    
With [qlco]    
Available [ftcn]    
Image [diap]    
Tumor [neop]    
detect [topp]    
Superior [spco]    
EU [diap]    
Compare [acty]    
Triphasic [tmco]    
CT [gngm]    
23 [qnco]    
Magnetic Resonance Imaging [diap]    
Identifiable [qlco]    
Tumor [neop]    
patient [podg]    
EU [diap]    
EU [diap]    
Identifiable [qlco]    
Cholangiocarcinoma [neop]    
Distal [spco]    
Proximal [spco]    
Tumor [neop]    
EUS-FNA [diap]    
median [spco]    
>5 [qnco]    
Pass [fndg]    
Ranges [qnco]    
1+ [qnco]    
Pass [fndg]    
Perform [ftcn]    
patient [podg]    
Overall [inpr]    
Sensitive [qnco]    
EUS-FNA [diap]    
Diagnosis [fndg]    
Cholangiocarcinoma [neop]    
Confidence Interval [qnco]    
High [qlco]    
Distal [spco]    
Compare [acty]    
Proximal [spco]    
Cholangiocarcinoma [neop]    
Tumor [neop]    
Unresectable [clna]    
EU [diap]    
Identifiable [qlco]    
Unresectable [clna]    
Identifiable [qlco]    
patient [podg]    
resect [qlco]    
Tumor [neop]    
Sensitive [qnco]    
97 [inpr]    
Specific [qnco]    
Unresectable [clna]    
CT [gngm]    
Magnetic Resonance Imaging [diap]    
fail [ftcn]    
To [qlco]    
detect [fndg]    
Unresectable [clna]    
patient [podg]    
limit [ftcn]    
Single [popg]    
Center [spco]    
studies [mnob]    
Conclusion [idcn]    
EU [diap]    
EUS-FNA [diap]    
Sensitive [ftcn]    
Diagnosis [fndg]    
Cholangiocarcinoma [neop]    
Very [qlco]    
Specific [qlco]    
Unresectable [clna]    
Sensitive [qnco]    
EUS-FNA [diap]    
High [qlco]    
Distal [spco]    
Proximal [spco]    
Cholangiocarcinoma [neop]    
71 [inpr]    
