Hepatic [blor]    
Radioembolization [topp]    
Update [tmco]    
Current [tmco]    
practice [menp]    
Recent [tmco]    
development [phsf]    
Radioembolization [topp]    
establish [qlco]    
treatment [ftcn]    
modalities [idcn]    
Subject [grup]    
Improved [cnce]    
Last [qlco]    
Decade [qnco]    
development [phsf]    
Occur [acty]    
High [qlco]    
Affect [ftcn]    
Patient Selection [resa]    
treatment [ftcn]    
Aim [idcn]    
Review [inpr]    
Provide [acty]    
overview [inpr]    
Current [tmco]    
practice [menp]    
Focus [spco]    
Recent [tmco]    
development [phsf]    
In the Field [spco]    
Radioembolization [topp]    
Several [qnco]    
Issue [fndg]    
recommend [idcn]    
applicable [hlca]    
Radioembolization [topp]    
Ranges [qnco]    
Patient Selection [resa]    
treatment [ftcn]    
Response [orga]    
Future [tmco]    
applicable [hlca]    
