Single [popg]    
Center [spco]    
experience [menp]    
Managed [ocac]    
klatskin tumors [neop]    
Aim [idcn]    
studies [mnob]    
To [qlco]    
Present [qnco]    
experience [menp]    
Managed [ocac]    
patient [podg]    
Focus [spco]    
Risk factor [qnco]    
Survival [acty]    
Tumor [neop]    
resect [topp]    
Method [inpr]    
year [tmco]    
period [tmco]    
patient [podg]    
Hilar Cholangiocarcinoma [neop]    
Managed [ocac]    
Department [orgt]    
Mean [qnco]    
Age [orga]    
patient [podg]    
year [tmco]    
One [qnco]    
patient [podg]    
TREAT [topp]    
Palliative [qlco]    
Measurable [qnco]    
patient [podg]    
resect [topp]    
Tumor [neop]    
NEG [qlco]    
Histologic [ftcn]    
Margin [spco]    
Associated [qlco]    
Major [qlco]    
Hepatectomies [topp]    
Perform [ftcn]    
Six [qnco]    
In [qnco]    
Parallel [qlco]    
Certainty [qlco]    
Risk factor [qnco]    
Survival [acty]    
Analyzed [resa]    
Result [ftcn]    
resect [qlco]    
Rate [acty]    
/day [tmco]    
Mortality rate [qnco]    
Postoperative [tmco]    
Morbidities [qnco]    
Site [spco]    
resect [topp]    
Tumor [neop]    
Bismuth [elii]    
Type I [clas]    
Lesion [fndg]    
<3 [qnco]    
patient [podg]    
Type II [clas]    
Type [qlco]    
+2 [qnco]    
Type [qlco]    
>5 [qnco]    
median [spco]    
Survival [acty]    
patient [podg]    
resect [topp]    
High [qlco]    
patient [podg]    
Not [ftcn]    
resect [topp]    
patient [podg]    
R- [spco]    
resect [topp]    
Histologic [ftcn]    
Clear [qlco]    
Margin [spco]    
experience [menp]    
Superior [spco]    
Survival [acty]    
patient [podg]    
R- [spco]    
resect [topp]    
Positive [qnco]    
Margin [spco]    
resect [topp]    
Result [ftcn]    
Cancer [neop]    
Positive [qnco]    
Margin [spco]    
Not [ftcn]    
Survival [acty]    
Benefit [qnco]    
Conclusion [idcn]    
Negative Surgical Margin [fndg]    
Tumor [neop]    
Differential [celf]    
Infiltrate [patf]    
Macroscopic [qlco]    
Appearance [orga]    
Statistical Significance [qnco]    
Prognostic Factor [clna]    
Find [ftcn]    
Complete [qlco]    
resect [topp]    
Tumor [neop]    
NEG [qlco]    
Histologic [ftcn]    
Margin [spco]    
Best [qlco]    
Possible [qlco]    
Long-term [tmco]    
Survival [acty]    
Addition [ftcn]    
Hepatectomies [topp]    
Biliary [ftcn]    
resect [topp]    
Result [ftcn]    
greater [qnco]    
*Number [qnco]    
patient [podg]    
Margin [spco]    
NEG [qlco]    
resect [topp]    
