Role [socb]    
Hepatic [blor]    
resect [topp]    
treatment [ftcn]    
Background [cnce]    
Aim [idcn]    
Present [qnco]    
studies [mnob]    
To [qlco]    
Evaluable [ftcn]    
Safeties [hcpp]    
Efficacy [qlco]    
Hepatic [blor]    
resect [topp]    
treatment [ftcn]    
intrahepatic [spco]    
Method [inpr]    
Experimental Design [resa]    
Retrospective Studies [resa]    
Set [ftcn]    
Italy [geoa]    
patient [podg]    
Consecutive [qlco]    
patient [podg]    
Single [popg]    
lobe [bpoc]    
Operable [ftcn]    
year [tmco]    
period [tmco]    
Inclusion [ftcn]    
intervention [hlca]    
Major [qlco]    
Hepatic [blor]    
resect [topp]    
<3 [qnco]    
Left [spco]    
Hepatectomies [topp]    
+2 [qnco]    
Left [spco]    
1+ [qnco]    
Right [spco]    
Hepatectomies [topp]    
Main [qlco]    
outcome measure [qnco]    
Type [qlco]    
Duration [tmco]    
Surgical procedure [hlca]    
Intra [tmco]    
Blood Loss, Postoperative [patf]    
Intra [tmco]    
Postoperative [tmco]    
Course [tmco]    
complicate [patf]    
Pathologic [bmod]    
Recurrence [phpr]    
Result [ftcn]    
Mean [qnco]    
Operative Time [tmco]    
<3 [qnco]    
Ranges [qnco]    
Mean [qnco]    
Blood loss [patf]    
/mL [qnco]    
Ranges [qnco]    
/mL [qnco]    
*^patient [podg]    
Required [ftcn]    
Intra [tmco]    
Postoperative [tmco]    
Blood Transfusion [topp]    
Complication, Intraoperative [patf]    
Record [inpr]    
Mean [qnco]    
Postoperative [tmco]    
Hospitalization [hlca]    
/day [tmco]    
Ranges [qnco]    
/day [tmco]    
Postoperative [tmco]    
Course [tmco]    
Case [ftcn]    
Postoperative [tmco]    
Mortalities [qnco]    
Record [inpr]    
One [qnco]    
Pancreatic [dsyn]    
1+ [qnco]    
Biliary Fistula [patf]    
Occur [acty]    
Overall [inpr]    
Postoperative [tmco]    
Morbidities [qnco]    
Pathologic [bmod]    
Show [inpr]    
Cholangiocarcinoma [neop]    
+2 [qnco]    
Case [ftcn]    
Follow-up [fndg]    
period [tmco]    
Ranges [qnco]    
month [tmco]    
Mean [qnco]    
month [tmco]    
1+ [qnco]    
*^patient [podg]    
Recurrent cholangitis [dsyn]    
Right [spco]    
lobe [bpoc]    
Lithiasis [patf]    
1+ [qnco]    
*^patient [podg]    
DI [orgf]    
Cholangiocarcinoma [neop]    
Conclusion [idcn]    
Hepatic [blor]    
resect [topp]    
treatment [ftcn]    
choice [inbe]    
patient [podg]    
Single [popg]    
lobe [bpoc]    
Possible [qlco]    
Presence [topp]    
Cholangiocarcinoma [neop]    
Early [tmco]    
indication [idcn]    
surgeries [bmod]    
Mortality rate [qnco]    
Morbidities [qnco]    
Hepatic [blor]    
resect [topp]    
