Hepatic [blor]    
resect [topp]    
Hepatocellular carcinoma [neop]    
Elderly [popg]    
Select [acty]    
Hepatectomies [topp]    
procedures [inpr]    
base [ftcn]    
*^patient [podg]    
Age [orga]    
Background [cnce]    
*Number [qnco]    
Elderly [popg]    
patient [podg]    
Hepatectomies [topp]    
Hepatocellular carcinoma [neop]    
Increase [ftcn]    
criteria [inpr]    
Appropriate [qlco]    
Hepatectomies [topp]    
Required [ftcn]    
patient [podg]    
Method [inpr]    
Two [qnco]    
Nine [qnco]    
Hepatocellular carcinoma [neop]    
patient [podg]    
Hepatectomies [topp]    
Present [qnco]    
studies [mnob]    
patient [podg]    
Classified [clas]    
Two [qnco]    
Group [idcn]    
Elderly [popg]    
Group [idcn]    
Age [orga]    
year [tmco]    
Non [ftcn]    
Elderly [popg]    
Group [idcn]    
Age [orga]    
year [tmco]    
Hepatectomies [topp]    
Select [acty]    
base [ftcn]    
Prognostic score [qnco]    
Formula [inpr]    
include [ftcn]    
*^patient [podg]    
Age [orga]    
Variability [qlco]    
Result [ftcn]    
Incidence [qnco]    
Non [ftcn]    
anatomic [qlco]    
resect [topp]    
High [qlco]    
weight [orga]    
resect [topp]    
Specimen [sbst]    
Lower [spco]    
Elderly [popg]    
Group [idcn]    
Non [ftcn]    
Elderly [popg]    
Group [idcn]    
Significance [qnco]    
*Difference [qnco]    
Observation [ftcn]    
Complication, Postoperative [patf]    
Rate [acty]    
Two [qnco]    
Group [idcn]    
>5 [qnco]    
year [tmco]    
Survival Rate [qnco]    
Two [qnco]    
Group [idcn]    
Conclusion [idcn]    
Favorable [qlco]    
short [qlco]    
Long-term [tmco]    
Outcome [ftcn]    
Obtain [ftcn]    
base [ftcn]    
criteria selection [qlco]    
Hepatectomies [topp]    
procedures [inpr]    
consider [idcn]    
*^patient [podg]    
Age [orga]    
treatment [ftcn]    
Elderly [popg]    
patient [podg]    
Hepatocellular carcinoma [neop]    
