唯一标志,被引用次数,期刊等级,题名,doi,作者,作者单位,期刊,关键字,分类号,年,卷,期
gdybfz201501010,0,,使用Vitapan Classical比色板对Beyond冷光美白疗效的评价,,徐英新[1];张丽辉[2];,"[1]北京大学深圳医院口腔科,广东深圳,518036;[2]深圳市第七(盐田区)人民医院口腔科;",广东牙病防治,Beyond冷光美白;Vitapan Classical比色板;疗效;,R783.6,2015,23,1
syxnfxgbzz201408096,3,,上消化道出血患者行胃镜下食管静脉曲张套扎术治疗的术后护理效果观察,10.3969/j.issn.1008-5971.2014.08.091,孙燕;,,实用心脑肺血管病杂志,上消化道出血;胃镜检查;食管静脉曲张套扎术;手术后医护;,R473.6,2014,,8
bfyx201506105,1,,乌司他丁联合奥曲肽治疗重症急性胰腺炎的临床应用,,蔡金伟;周应生;,,北方药学,乌司他丁;奥曲肽;重症急性胰腺炎;联合应用;,R657.5+1,2015,,6
xdzdyzl201503011,1,,通窍活血汤治疗颈动脉软斑块的疗效及对血液流变学的影响,,王华政;杨以超;倪浩斌;,,现代诊断与治疗,通窍活血汤;颈动脉软斑块;血液流变学;,R543.4,2015,,3
qqhryxyxb201511049,0,,急性脑梗死合并心肌梗死25例临床分析,,张立波;王钟情;姚袁媛;,,齐齐哈尔医学院学报,急性脑梗死;心肌梗死;临床分析;,,2015,,11
zwkjzlml-yyws201421010,1,,二甲双胍对T2DM患者同型半胱氨酸及大血管的影响,,叶强;赵亚丽;黎月秋;张丹丹;,,中国现代医生,2型糖尿病;大血管;同型半胱氨酸;二甲双胍;,R587.2,2014,52,21
yxmxmr-zx2014110595,0,,中西医结合治疗哮喘的护理体会,,王琼萍;苏杰;唐丹;,,医学美学美容（中旬刊）,沙丁胺醇;哮喘;护理;中西医结合;,R473.12,2014,,11
lchlyyzz201420050,0,,心肝同治法及其组方对缺血心肌血管新生相关因子影响的研究,,林华;蔡智刚;唐新征;,,临床合理用药杂志,心肌缺血;心肝同治;血管内皮生长因子受体 2;心肌微血管密度;大鼠;,R542.2,2014,,20
zgwscy201418055,0,,不同病性证素对老年性高血压靶器官损害的影响,,姚灿坤;唐新征;林华;蔡智刚;,,中国卫生产业,老年性高血压;病性证素;靶器官;,R445,2014,,18
yiyqy201416280,0,,护理干预对冠心病介入诊疗并发症的护理效果,10.3969/j.issn.2095-1752.2014.16.280,王芳;,,医药前沿,冠心病;介入治疗;护理;,R473.5,2014,,16
yiyqy201415159,0,,88例结核性脑膜炎所致精神障碍临床分析,10.3969/j.issn.2095-1752.2014.15.159,张立波;姚袁媛;,,医药前沿,结核性脑膜炎;精神障碍;意识障碍;神经症状;,R743,2014,,15
szzxyjhzz201407001,0,,小鼠精子发生过程中雄激素受体对靶基因Septin 7的表达调控,,牟丽莎[1];刁瑞英[1];张强[1];桂耀庭[2];蔡志明[1];,"[1]深圳市第二人民医院,深圳市泌尿生殖系统肿瘤研究重点实验室,广东深圳518035;[2]北京大学深圳医院,男性生殖与遗传重点实验室,广东深圳518036;",深圳中西医结合杂志,雄激素受体;Septin7;支持细胞;精子发生;雄性不育;,Q343.3+4  Q954.43+4,2014,24,7
zhwkdzzz201601004,0,,肌腱移植与V-Y延长治疗跟腱缺损的实验生物力学研究,,白露;尤田;陈鹏;黄伟;张文涛;,,足踝外科电子杂志,跟腱断裂;肌腱缺损;生物力学;,,2016,3,1
